city,match_median_usd,baseline_median_usd,baseline_source,hotel_surge_pct,country,venue,capacity,matches_hosted,impact_usd_m,source
Boston,320.0,185.0,scraped,73.0,USA,Gillette Stadium,65878,6,480,Massachusetts Office of Tourism (2024)
Seattle,271.0,175.0,scraped,54.9,USA,Lumen Field,68740,6,540,Seattle Sports Commission (2024)
New York / New Jersey,188.0,127.0,scraped,48.0,USA,MetLife Stadium,82500,8,2600,NJ Sports & Exposition Authority (2024)
Vancouver,242.0,180.0,scraped,34.4,Canada,BC Place,54500,6,310,Canadian Soccer Association (2024)
Kansas City,153.0,130.0,scraped,17.7,USA,Arrowhead Stadium,73170,6,380,KC Sports Commission (2024)
Los Angeles,115.0,100.0,scraped,15.0,USA,SoFi Stadium,70240,8,1100,LA Host Committee Impact Study (2024)
Philadelphia,159.0,165.0,scraped,-3.6,USA,Lincoln Financial Field,69796,6,430,Philadelphia CVB (2024)
Atlanta,117.0,145.0,scraped,-19.3,USA,Mercedes-Benz Stadium,71000,6,510,Atlanta Sports Council (2024)
Toronto,147.0,195.0,scraped,-24.6,Canada,BMO Field,45000,6,350,Canadian Soccer Association (2024)
Dallas,108.0,155.0,scraped,-30.3,USA,AT&T Stadium,80000,7,890,DFW Sports Commission estimate (2024)
Miami,139.0,200.0,scraped,-30.5,USA,Hard Rock Stadium,65326,6,560,Greater Miami CVB (2024)
Monterrey,67.0,100.0,scraped,-33.0,Mexico,Estadio BBVA,53500,3,195,Comité Organizador México (2024)
San Francisco Bay Area,140.0,230.0,scraped,-39.1,USA,Levi's Stadium,68500,6,620,Bay Area Host Committee (2024)
Houston,81.0,150.0,scraped,-46.0,USA,NRG Stadium,72220,6,420,Houston Sports Authority (2024)
Guadalajara,43.0,95.0,scraped,-54.7,Mexico,Estadio Akron,49850,3,220,Comité Organizador México (2024)
Mexico City,41.0,120.0,scraped,-65.8,Mexico,Estadio Azteca,87523,3,480,Comité Organizador México (2024)
